ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
IDXX,103,2026-08-07,beta_hedged,0.49350698103086277,0.48223350253807107,3,0.0,586.6699829101562,438808905.0,vol_63d(-0.007) | vol_63d_rank(+0.003) | sharpe_mom_21(-0.002)
LULU,104,2026-08-07,beta_hedged,0.49345853902484266,0.47715736040609136,3,0.0,128.5800018310547,286508549.0,ret_10d(-0.005) | close_vs_sma200(-0.004) | vol_63d_rank(+0.004)
BIIB,105,2026-08-07,beta_hedged,0.49339780377557946,0.4720812182741117,3,0.0,207.94000244140625,275936484.0,vol_21d(-0.006) | vol_63d_rank(+0.004) | vol_63d(-0.003)
AVB,106,2026-08-07,beta_hedged,0.49318025221781375,0.467005076142132,3,0.0,187.5500030517578,147488408.0,vol_63d_rank(-0.010) | ret_21d_rank(+0.004) | vol_63d(-0.003)
SHW,107,2026-08-07,beta_hedged,0.49301243242716186,0.4619289340101523,3,0.0,369.7300109863281,722861976.0,ret_10d(-0.008) | close_vs_sma50(+0.008) | vol_63d(-0.007)
MCK,108,2026-08-07,beta_hedged,0.49286795278694906,0.45685279187817257,3,0.0,869.5800170898438,843766303.0,vol_63d(-0.009) | vol_21d(-0.006) | close_vs_sma50(+0.002)
BSX,109,2026-08-07,beta_hedged,0.4927254404607419,0.4517766497461929,3,0.0,49.310001373291016,918373443.0,vol_63d_rank(+0.004) | bb_position(-0.003) | ret_10d(-0.003)
EOG,110,2026-08-07,beta_hedged,0.49247764351736434,0.4467005076142132,3,0.0,134.74000549316406,429694377.0,vol_63d(-0.008) | vol_21d(-0.007) | vol_63d_rank(+0.002)
ADM,111,2026-08-07,beta_hedged,0.4920617604173613,0.4416243654822335,3,0.0,76.58999633789062,310860953.0,vol_63d(-0.009) | vol_63d_rank(-0.007) | ret_21d_rank(+0.004)
TMO,112,2026-08-07,beta_hedged,0.4916989073011265,0.4365482233502538,3,0.0,594.0,1249361185.0,vol_63d(-0.008) | vol_21d(-0.005) | close_vs_sma50(+0.004)
AVY,113,2026-08-07,beta_hedged,0.4916777303515551,0.43147208121827413,3,0.0,177.17999267578125,142622582.0,vol_63d(-0.008) | close_vs_sma50(+0.003) | vol_63d_rank(-0.002)
PPG,114,2026-08-07,beta_hedged,0.4916050035887847,0.4263959390862944,3,0.0,119.72000122070312,220788990.0,vol_21d(-0.007) | vol_63d(-0.007) | close_vs_sma200(-0.002)
