ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
CPRT,126,2026-08-14,beta_hedged,0.4910039865354559,0.3279569892473118,2,0.0,31.610000610351562,316406899.0,vol_63d_rank(+0.005) | vol_63d(-0.004) | vol_21d(-0.003)
DHI,127,2026-08-14,beta_hedged,0.49079192361007723,0.3225806451612903,2,0.0,148.80999755859375,388926990.0,vol_63d(-0.005) | vol_21d(-0.004) | vol_63d_rank(+0.004)
DVN,128,2026-08-14,beta_hedged,0.4906634520382698,0.3172043010752688,2,0.0,45.849998474121094,446412672.0,vol_63d(-0.005) | vol_21d(-0.004) | vol_63d_rank(+0.004)
ROL,129,2026-08-14,beta_hedged,0.49064727186052687,0.3118279569892473,2,0.0,36.20000076293945,262643753.0,vol_63d(-0.007) | vol_21d(-0.003) | bb_position(+0.002)
WY,130,2026-08-14,beta_hedged,0.49051175330119784,0.3064516129032258,2,0.0,24.559999465942383,136907787.0,vol_63d(-0.007) | close_vs_sma200(-0.002) | vol_10d(-0.001)
NKE,131,2026-08-14,beta_hedged,0.4904479946202307,0.3010752688172043,2,0.0,40.72999954223633,854524449.0,vol_63d(-0.007) | close_vs_sma200(-0.002) | mkt_breadth(-0.002)
AOS,132,2026-08-14,beta_hedged,0.4904198746333593,0.2956989247311828,2,0.0,62.16999816894531,102496675.0,vol_63d(-0.006) | close_vs_sma200(-0.003) | vol_ratio(-0.001)
UPS,133,2026-08-14,beta_hedged,0.4901729450653443,0.2903225806451613,2,0.0,104.5,621943148.0,vol_63d(-0.006) | close_vs_sma200(-0.003) | vol_21d(-0.003)
WELL,134,2026-08-14,beta_hedged,0.49006459276058384,0.2849462365591398,2,0.0,235.52000427246094,762480896.0,vol_63d(-0.007) | vol_63d_rank(-0.004) | ret_21d_rank(+0.002)
TRMB,135,2026-08-14,beta_hedged,0.490034460746984,0.27956989247311825,2,0.0,57.599998474121094,157648855.0,vol_63d(-0.006) | vol_21d(-0.005) | vol_63d_rank(+0.004)
HD,136,2026-08-14,beta_hedged,0.48990582022273527,0.27419354838709675,2,0.0,338.8599853515625,1270358104.0,vol_63d(-0.008) | vol_63d_rank(-0.004) | ret_21d_rank(+0.002)
TMO,137,2026-08-14,beta_hedged,0.48962414002874133,0.26881720430107525,2,0.0,588.2899780273438,1282215830.0,vol_63d(-0.007) | vol_21d(-0.004) | close_vs_sma50(+0.003)
